Date,Day,HighTemp ,LowTemp ,Precipitation,QueensboroBridge,Total
1-Jul,Saturday,84.9,72,0.23,"3,216","11,867"
2-Jul,Sunday,87.1,73,0,"3,579","13,995"
3-Jul,Monday,87.1,71.1,0.45,"4,230","16,067"
4-Jul,Tuesday,82.9,70,0,"3,861","13,925"
5-Jul,Wednesday,84.9,71.1,0,"5,862","23,110"
6-Jul,Thursday,75,71.1,0,"5,251","21,861"
7-Jul,Friday,79,68,1.78,"3,304","12,805"
8-Jul,Saturday,82.9,70,0,"3,952","17,258"
9-Jul,Sunday,81,69.1,0,"4,044","18,320"
10-Jul,Monday,82.9,71.1,0,"5,712","24,827"
11-Jul,Tuesday,84,75,0,"5,129","21,743"
12-Jul,Wednesday,87.1,77,0,"4,929","21,174"
13-Jul,Thursday,89.1,77,0,"4,461","18,290"
14-Jul,Friday,69.1,64.9,0.35,"2,147","8,210"
15-Jul,Saturday,82.9,68,0,"3,918","17,259"
16-Jul,Sunday,84.9,70,0,"4,062","17,539"
17-Jul,Monday,84.9,73.9,0,"5,468","23,837"
18-Jul,Tuesday,87.1,75.9,0,"5,531","25,038"
19-Jul,Wednesday,91,77,0,"5,247","22,847"
20-Jul,Thursday,93,78.1,0.01,"4,804","20,405"
21-Jul,Friday,91,77,0,"5,005","19,773"
22-Jul,Saturday,91,78.1,0.57,"3,841","14,422"
23-Jul,Sunday,78.1,73,0.06,"3,124","13,297"
24-Jul,Monday,69.1,63,0.74,"2,835","11,862"
25-Jul,Tuesday,71.1,64,0,"5,698","23,586"
26-Jul,Wednesday,75.9,66,0,"6,556","26,969"
27-Jul,Thursday,77,66.9,0,"5,997","23,129"
28-Jul,Friday,84.9,73,0,"5,496","21,741"
29-Jul,Saturday,75.9,68,0,"3,711","14,814"
30-Jul,Sunday,81,64.9,0,"4,324","18,696"
31-Jul,Monday,88,66.9,0,"5,774","24,284"
